2026-02-15 09:30:00 | 192.168.1.1 | allow | tcp | 192.168.1.100:36748 | 10.0.0.7:443 | HTTPS traffic to internal server
2026-02-15 09:30:02 | 192.168.1.1 | allow | tcp | 10.0.0.8:34040 | 10.0.0.20:443 | HTTPS traffic to internal server
2026-02-15 09:30:04 | 192.168.1.1 | allow | tcp | 10.0.0.7:7021 | 185.130.5.10:42688 | Normal TCP traffic
2026-02-15 09:30:06 | 192.168.1.1 | allow | tcp | 192.168.1.100:4769 | 192.168.1.200:443 | HTTPS traffic to internal server
2026-02-15 09:30:08 | 192.168.1.1 | allow | tcp | 192.168.1.100:9422 | 203.0.113.15:443 | HTTPS traffic to internal server
2026-02-15 09:30:10 | 192.168.1.1 | deny | tcp | 203.0.113.10:50785 | 10.0.0.5:22 | Failed password for root (SSH Brute Force)
2026-02-15 09:30:11 | 192.168.1.1 | deny | tcp | 203.0.113.10:50786 | 10.0.0.5:22 | Failed password for admin (SSH Brute Force)
2026-02-15 09:30:12 | 192.168.1.1 | deny | tcp | 203.0.113.10:50787 | 10.0.0.5:22 | Failed password for user (SSH Brute Force)
2026-02-15 09:30:13 | 192.168.1.1 | deny | tcp | 203.0.113.10:50788 | 10.0.0.5:22 | Failed password for administrator (SSH Brute Force)
2026-02-15 09:30:14 | 192.168.1.1 | deny | tcp | 203.0.113.10:50789 | 10.0.0.5:22 | Failed password for guest (SSH Brute Force)
2026-02-15 09:30:16 | 192.168.1.1 | allow | tcp | 192.168.1.10:47406 | 192.168.1.50:35568 | Normal TCP traffic
2026-02-15 09:30:18 | 192.168.1.1 | allow | udp | 192.168.1.10:43387 | 10.0.0.20:10831 | DNS query (normal)
2026-02-15 09:30:20 | 192.168.1.1 | allow | udp | 10.0.0.20:2288 | 192.168.1.200:64134 | DNS query (normal)
2026-02-15 09:30:22 | 192.168.1.1 | allow | tcp | 10.0.0.8:11012 | 192.168.1.200:38718 | Normal TCP traffic
2026-02-15 09:30:24 | 192.168.1.1 | deny | tcp | 198.51.100.20:17885 | 10.0.0.6:79 | Port Scan detected: Sequential ports
2026-02-15 09:30:25 | 192.168.1.1 | deny | tcp | 198.51.100.20:17886 | 10.0.0.6:80 | Port Scan detected: Sequential ports
2026-02-15 09:30:26 | 192.168.1.1 | deny | tcp | 198.51.100.20:17887 | 10.0.0.6:81 | Port Scan detected: Sequential ports
2026-02-15 09:30:27 | 192.168.1.1 | deny | tcp | 198.51.100.20:17888 | 10.0.0.6:22 | Port Scan detected: Sequential ports
2026-02-15 09:30:28 | 192.168.1.1 | deny | tcp | 198.51.100.20:17889 | 10.0.0.6:443 | Port Scan detected: Sequential ports
2026-02-15 09:30:30 | 192.168.1.1 | allow | tcp | 192.168.1.200:48679 | 10.0.0.10:65078 | Normal TCP traffic
2026-02-15 09:30:32 | 192.168.1.1 | allow | tcp | 192.168.1.200:6120 | 192.168.1.50:80 | HTTP web traffic
2026-02-15 09:30:34 | 192.168.1.1 | allow | tcp | 192.168.1.200:55472 | 10.0.0.10:80 | HTTP web traffic
2026-02-15 09:30:36 | 192.168.1.1 | allow | tcp | 192.168.1.100:52085 | 10.0.0.8:80 | HTTP web traffic
2026-02-15 09:30:38 | 192.168.1.1 | deny | tcp | 185.130.5.10:45000 | 10.0.0.7:445 | Possible SMB exploitation attempt
2026-02-15 09:30:40 | 192.168.1.1 | allow | udp | 10.0.0.20:29376 | 192.168.1.200:30087 | DNS query (normal)
2026-02-15 09:30:42 | 192.168.1.1 | allow | tcp | 10.0.0.5:43872 | 10.0.0.6:443 | HTTPS traffic to internal server
2026-02-15 09:30:44 | 192.168.1.1 | allow | tcp | 10.0.0.6:4924 | 10.0.0.20:80 | HTTP web traffic
2026-02-15 09:30:46 | 192.168.1.1 | deny | udp | 45.33.22.11:11111 | 192.168.1.255:137 | NetBIOS Name Query broadcast - Suspicious external source
2026-02-15 09:30:48 | 192.168.1.1 | allow | tcp | 192.168.1.200:62486 | 203.0.113.10:443 | HTTPS traffic to internal server
2026-02-15 09:30:50 | 192.168.1.1 | allow | udp | 10.0.0.6:21507 | 203.0.113.10:19773 | DNS query (normal)
2026-02-15 09:30:52 | 192.168.1.1 | deny | tcp | 203.0.113.25:52100 | 10.0.0.8:22 | Failed password for root (SSH Brute Force)
2026-02-15 09:30:53 | 192.168.1.1 | deny | tcp | 203.0.113.25:52101 | 10.0.0.8:22 | Failed password for admin (SSH Brute Force)
2026-02-15 09:30:54 | 192.168.1.1 | deny | tcp | 203.0.113.25:52102 | 10.0.0.8:22 | Failed password for user (SSH Brute Force)
2026-02-15 09:30:55 | 192.168.1.1 | deny | tcp | 203.0.113.25:52103 | 10.0.0.8:22 | Failed password for test (SSH Brute Force)
2026-02-15 09:30:56 | 192.168.1.1 | allow | tcp | 10.0.0.8:18019 | 10.0.0.5:443 | HTTPS traffic to internal server
2026-02-15 09:30:58 | 192.168.1.1 | allow | tcp | 10.0.0.7:4860 | 203.0.113.15:80 | HTTP web traffic
2026-02-15 09:31:00 | 192.168.1.1 | allow | udp | 192.168.1.100:58887 | 10.0.0.5:38406 | DNS query (normal)
2026-02-15 09:31:02 | 192.168.1.1 | allow | tcp | 10.0.0.20:10134 | 203.0.113.10:80 | HTTP web traffic
